,ï»¿counter,projHist0,projHist1,projHist2,projHist3,projHist4,projHist5,projHist6,projHist7,projHist8,projHist9,projHist10,projHist11,projHist12,projHist13,projHist14,projHist15,projHist16,projHist17,projHist18,projHist19,projHist20,projHist21,projHist22,projHist23,projHist24,projHist25,projHist26,projHist27,projHist28,projHist29,projHist30,projHist31,projHist32,projHist33,projHist34,projHist35,projHist36,projHist37,projHist38,projHist39,projHist40,projHist41,projHist42,projHist43,projHist44,projHist45,projHist46,projHist47,projHist48,projHist49,projHist50,projHist51,projHist52,projHist53,projHist54,projHist55,projHist56,projHist57,projHist58,projHist59,projHist60,projHist61,projHist62,projHist63,projHist64,projHist65,projHist66,projHist67,projHist68,projHist69,projHist70,projHist71,projHist72,projHist73,projHist74,projHist75,projHist76,projHist77,projHist78,projHist79,projHist80,projHist81,projHist82,projHist83,projHist84,projHist85,projHist86,projHist87,projHist88,projHist89,projHist90,projHist91,projHist92,projHist93,projHist94,projHist95,projHist96,projHist97,projHist98,projHist99,projHist100,projHist101,projHist102,projHist103,projHist104,projHist105,projHist106,projHist107,projHist108,projHist109,projHist110,projHist111,projHist112,projHist113,projHist114,projHist115,projHist116,projHist117,projHist118,projHist119,projHist120,projHist121,projHist122,projHist123,projHist124,projHist125,projHist126,projHist127,projHistH0,projHistH1,projHistH2,projHistH3,projHistH4,projHistH5,projHistH6,projHistH7,projHistH8,projHistH9,projHistH10,projHistH11,projHistH12,projHistH13,projHistH14,projHistH15,projHistH16,projHistH17,projHistH18,projHistH19,projHistH20,projHistH21,projHistH22,projHistH23,projHistH24,projHistH25,projHistH26,projHistH27,projHistH28,projHistH29,projHistH30,projHistH31,projHistH32,projHistH33,projHistH34,projHistH35,projHistH36,projHistH37,projHistH38,projHistH39,projHistH40,projHistH41,projHistH42,projHistH43,projHistH44,projHistH45,projHistH46,projHistH47,projHistH48,projHistH49,projHistH50,projHistH51,projHistH52,projHistH53,projHistH54,projHistH55,projHistH56,projHistH57,projHistH58,projHistH59,projHistH60,projHistH61,projHistH62,projHistH63,projHistH64,projHistH65,projHistH66,projHistH67,projHistH68,projHistH69,projHistH70,projHistH71,projHistH72,projHistH73,projHistH74,projHistH75,projHistH76,projHistH77,projHistH78,projHistH79,projHistH80,projHistH81,projHistH82,projHistH83,projHistH84,projHistH85,projHistH86,projHistH87,projHistH88,projHistH89,projHistH90,projHistH91,projHistH92,projHistH93,projHistH94,projHistH95,projHistH96,projHistH97,projHistH98,projHistH99,projHistH100,projHistH101,projHistH102,projHistH103,projHistH104,projHistH105,projHistH106,projHistH107,projHistH108,projHistH109,projHistH110,projHistH111,projHistH112,projHistH113,projHistH114,projHistH115,projHistH116,projHistH117,projHistH118,projHistH119,projHistH120,projHistH121,projHistH122,projHistH123,projHistH124,projHistH125,projHistH126,projHistH127,ratioBlackWhite,verticalSymmetry,horizontalSymmetry,diagonalSymmetry14,diagonalSymmetry23
21,21,6,6,18,9,9,3,18,9,21,3,30,0,21,15,9,18,6,0,12,15,21,15,9,3,3,9,15,9,9,6,3,12,12,12,9,9,18,15,12,12,12,12,12,3,12,6,6,12,9,12,12,12,12,12,9,15,15,6,3,9,6,6,15,12,9,9,6,6,18,6,12,6,3,12,12,9,12,9,9,6,6,6,9,12,3,9,9,6,9,9,9,9,3,6,3,9,0,6,6,6,9,12,6,6,12,3,12,15,0,3,6,9,21,6,15,6,12,12,24,21,12,6,21,36,24,63,45,42,3,33,6,21,9,3,9,9,0,0,12,6,6,9,9,3,3,6,9,9,6,3,0,0,0,6,9,6,3,9,9,0,3,6,0,9,12,3,12,3,6,15,9,18,6,9,15,15,24,6,12,12,21,9,6,24,12,9,15,12,12,9,15,6,12,15,0,9,9,12,3,12,12,6,9,9,12,3,15,3,3,6,6,9,9,9,9,6,9,9,9,9,9,9,12,15,9,12,12,12,9,9,9,9,12,9,9,9,12,6,9,3,6,12,3,33,12,24,6,12,12,24,9,24,63,24,84,81,,1,0,0,0
22,22,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,6,3,3,6,3,0,6,3,0,0,3,3,12,15,9,21,30,21,33,198,96,156,129,207,120,9,6,12,3,3,0,0,0,0,0,3,3,3,6,0,0,6,3,0,0,0,0,0,3,6,6,3,3,3,6,3,3,3,3,3,3,3,3,6,9,6,3,0,0,0,0,0,3,3,3,0,3,3,0,36,51,90,57,33,0,6,3,0,3,6,3,0,0,3,3,0,3,3,3,0,6,6,9,6,6,6,3,3,3,3,9,6,6,9,6,0,9,9,6,9,9,9,3,0,3,3,6,6,9,12,15,9,9,9,15,18,18,15,15,15,15,15,12,12,15,12,12,12,12,12,9,9,9,9,15,15,12,12,12,9,12,12,15,15,12,15,15,9,6,12,15,6,3,9,9,9,9,6,12,12,12,9,9,12,15,15,15,12,12,12,9,15,6,6,6,3,3,6,6,3,3,3,6,0,3,3,3,,0,1,0,0
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,9,0,0,6,6,6,9,12,6,3,3,3,3,6,6,6,9,12,3,0,3,6,6,9,6,6,12,18,9,6,9,15,12,12,12,12,12,6,3,6,9,0,0,3,6,0,0,0,6,3,0,0,9,0,0,0,0,6,3,3,0,0,0,3,0,3,6,3,0,6,0,0,3,9,0,0,0,3,0,0,6,0,0,0,0,0,6,6,15,3,0,9,6,0,6,0,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,6,3,0,30,3,0,27,27,18,0,12,3,0,0,0,0,6,0,0,0,0,3,0,6,6,0,3,3,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,51,102,,0,0,0,0
24,24,72,48,18,78,33,33,30,6,3,9,3,6,9,6,12,9,12,0,3,9,9,3,12,3,3,3,3,3,3,3,6,0,3,6,3,6,3,0,0,3,3,3,3,3,6,0,0,6,3,3,6,6,6,3,3,6,3,6,6,6,6,3,3,6,9,3,3,3,6,3,6,6,6,0,6,6,6,0,6,6,6,6,6,3,6,12,3,9,6,6,12,6,3,6,6,6,3,6,9,15,0,6,9,3,9,12,0,9,6,0,6,9,3,6,3,12,6,6,6,21,15,30,33,18,54,12,90,126,3,6,0,0,3,6,3,3,3,0,6,12,9,3,9,3,3,6,9,3,12,9,3,3,3,6,9,9,6,6,12,12,9,6,9,12,12,12,9,9,9,9,9,9,6,9,12,3,9,9,9,6,9,6,6,6,9,9,12,9,12,9,12,12,6,9,9,12,6,6,6,12,12,12,12,12,9,6,6,12,9,9,6,12,12,15,3,9,12,9,12,9,9,12,15,9,12,3,9,12,12,9,9,15,12,12,6,15,12,12,21,12,12,27,18,15,24,15,6,21,9,18,9,33,33,9,42,42,,0,0,0,0
25,25,3,6,6,3,9,3,0,9,9,6,3,9,6,3,3,6,12,18,6,18,3,3,21,3,18,9,18,33,6,30,12,9,21,0,3,12,3,6,0,9,6,6,6,9,6,9,12,0,9,3,9,6,6,6,3,6,6,6,6,3,9,9,9,12,6,15,6,9,9,12,15,12,9,3,12,12,6,15,18,6,6,9,3,27,12,15,12,6,12,12,15,9,9,6,6,9,6,12,18,3,9,9,9,9,15,12,6,6,6,6,0,9,3,6,3,6,6,9,3,6,0,6,3,3,9,3,3,9,3,6,0,3,0,6,6,3,0,3,0,6,9,0,6,9,6,9,3,6,6,6,9,3,3,6,0,6,3,6,6,6,6,6,9,15,12,0,6,9,3,6,6,12,9,12,9,9,9,12,9,9,9,15,15,15,9,9,3,9,12,9,18,6,6,12,18,12,15,12,9,15,6,15,18,12,3,6,6,24,9,15,18,18,15,6,3,6,12,18,9,12,12,15,9,15,6,9,15,9,15,6,12,3,9,6,6,0,9,6,9,9,3,6,9,6,3,3,6,3,9,12,3,12,15,6,12,6,,1,0,0,0
26,26,0,12,9,3,9,3,9,15,9,6,18,12,21,12,24,15,21,27,21,0,15,21,3,30,12,6,6,9,21,21,21,30,30,24,21,30,9,12,15,24,12,3,12,15,9,12,12,6,12,12,3,33,0,15,39,3,27,21,6,18,18,9,9,6,6,12,6,6,6,3,12,12,6,6,18,6,9,0,15,24,9,12,24,3,33,6,12,21,24,12,18,21,30,27,12,12,18,9,18,9,18,33,24,33,21,27,15,30,18,27,15,9,12,15,6,15,12,12,12,3,15,12,3,15,6,6,6,9,3,6,0,3,0,6,3,6,6,0,3,9,9,6,6,3,6,6,9,0,6,18,9,6,6,6,3,9,9,12,9,6,9,9,3,12,15,9,18,12,12,15,24,12,9,24,15,12,6,18,18,9,21,21,9,9,12,27,21,24,33,27,30,30,21,18,18,15,18,21,21,24,24,30,21,24,21,15,24,21,18,24,18,24,9,12,18,18,24,24,21,18,21,18,12,18,24,21,21,24,15,12,24,18,18,18,30,24,12,15,12,3,12,3,15,9,6,18,15,15,3,36,6,9,15,15,9,0,,1,0,0,0
27,27,3,3,3,0,0,0,3,6,0,3,3,3,3,6,9,3,3,12,9,0,12,9,9,0,12,6,3,9,12,3,3,9,3,9,6,3,9,9,12,15,18,12,3,3,9,6,18,12,12,3,18,21,12,3,27,12,6,15,9,6,12,15,3,3,3,3,6,9,6,6,12,18,12,18,15,18,6,15,18,6,12,27,9,9,27,6,12,3,12,15,3,12,3,9,12,3,6,0,12,3,6,3,9,9,6,3,0,12,3,3,3,6,3,9,9,9,3,6,3,0,3,3,0,0,6,0,3,3,3,3,3,0,0,3,6,0,3,6,9,9,3,6,6,6,3,9,0,6,3,6,6,6,6,6,0,9,9,9,6,3,12,9,6,3,9,9,21,12,15,15,9,21,21,6,15,15,21,6,18,15,9,3,3,12,6,3,3,21,6,6,18,9,6,6,3,9,12,15,9,9,6,6,6,6,9,9,12,6,6,15,21,18,9,9,15,15,12,6,15,6,9,6,12,3,6,3,6,12,3,3,12,6,6,6,6,6,6,12,6,3,0,9,3,3,3,6,6,3,0,0,3,3,3,3,6,3,,1,1,1,1
28,28,0,6,0,3,3,3,3,3,3,0,0,3,0,3,3,0,3,6,3,3,0,6,3,3,6,6,3,3,3,6,9,3,0,3,3,0,3,6,3,3,3,3,0,6,0,9,6,3,3,6,6,3,3,6,9,21,9,30,72,0,3,6,3,3,3,6,6,0,3,3,0,3,6,3,3,0,3,3,6,6,3,6,3,6,9,6,3,3,0,0,6,6,3,6,6,6,3,6,3,3,12,9,6,6,3,9,6,9,3,3,9,3,6,6,3,0,6,0,6,0,6,0,3,3,3,3,3,0,3,3,0,6,3,6,9,3,9,3,9,9,6,3,9,12,6,6,9,12,18,15,18,15,12,18,3,12,9,6,12,12,9,9,6,12,9,6,6,9,6,6,9,9,6,9,6,12,9,6,9,12,3,6,12,3,9,3,0,0,0,0,0,0,3,3,6,6,3,3,3,0,0,0,3,0,3,3,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,,0,0,0,0
29,29,0,6,6,3,6,3,6,6,6,9,6,6,9,3,9,12,15,9,12,6,6,6,3,9,3,6,6,12,12,9,18,6,9,15,12,12,18,15,27,15,21,12,15,18,18,18,18,15,30,21,12,15,18,15,18,9,9,15,15,21,18,15,24,15,12,24,15,21,30,15,24,18,21,30,27,33,51,24,27,36,33,27,18,18,21,18,6,9,12,12,15,18,21,21,21,18,21,18,18,15,18,9,15,15,9,24,21,3,6,12,6,3,6,3,3,3,0,0,0,3,3,6,6,3,0,3,3,0,9,12,15,0,9,9,0,3,3,3,0,3,3,3,3,3,3,0,0,3,0,3,3,0,6,3,0,3,0,3,6,3,0,6,3,0,3,3,6,0,0,0,6,0,3,6,3,3,3,3,6,3,6,3,6,6,6,6,9,6,3,81,78,48,90,57,48,9,6,6,3,3,3,12,3,6,6,3,6,3,6,6,0,9,6,3,6,6,6,3,3,12,6,0,3,3,3,9,6,6,6,0,3,3,3,0,12,3,0,3,3,0,6,0,72,129,117,87,120,108,39,42,57,9,36,30,27,3,,1,0,0,0
30,30,150,108,123,42,27,78,48,45,39,36,36,15,27,9,30,9,15,18,24,27,21,18,18,27,15,24,12,3,6,21,21,15,6,24,9,3,12,15,24,6,6,12,9,27,24,42,24,36,27,30,15,39,15,9,3,21,39,18,15,45,39,30,42,54,66,36,3,9,21,39,12,6,33,33,30,18,33,18,6,15,30,24,24,15,6,3,9,9,9,15,15,6,12,6,6,6,6,9,6,6,3,0,0,3,6,6,6,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,33,42,33,45,0,15,18,6,24,6,24,18,15,12,15,3,6,12,9,12,15,18,12,12,12,9,6,6,9,9,12,3,6,12,9,6,6,3,6,12,12,12,15,24,21,12,15,24,18,30,15,12,15,21,36,33,27,27,21,24,27,24,18,15,12,21,12,9,15,15,9,15,12,6,12,15,21,18,24,21,18,21,21,24,24,18,18,21,15,15,24,21,21,15,33,39,33,36,33,21,39,33,12,33,27,30,27,54,18,36,45,42,27,18,18,27,39,48,60,42,21,21,,0,0,0,0
31,31,3,3,18,15,15,0,0,0,3,6,0,0,0,27,33,27,18,0,75,39,48,66,3,3,3,0,3,6,6,3,6,3,3,0,0,0,6,3,0,3,6,0,3,6,6,9,6,3,6,9,12,6,3,3,6,9,15,15,12,9,9,6,6,6,12,6,6,9,12,6,6,12,12,9,6,9,3,3,3,18,9,21,15,9,3,3,9,9,3,6,6,9,9,12,6,3,6,6,3,0,6,6,12,6,9,3,9,12,6,12,6,15,6,12,9,3,3,12,18,3,6,3,12,6,9,9,3,6,3,3,0,0,0,9,3,3,3,3,3,3,3,3,6,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,9,3,9,9,9,9,12,6,9,6,0,3,0,0,0,0,0,0,0,0,0,0,39,24,18,30,12,6,21,15,15,0,12,9,24,18,18,6,9,12,12,12,15,15,21,18,15,15,12,12,12,15,12,9,12,15,12,18,15,12,12,12,3,3,6,9,18,12,18,12,15,90,96,21,57,,0,0,0,0
32,32,93,84,69,66,69,48,45,75,120,63,42,18,18,24,45,63,45,15,24,24,21,9,18,33,33,42,39,24,27,21,18,15,3,9,9,12,12,15,24,30,36,30,42,45,39,36,30,24,33,27,21,12,6,9,12,15,15,15,9,9,12,18,18,21,24,30,30,27,24,18,12,12,9,9,6,12,9,6,9,9,12,12,9,12,12,9,6,6,9,6,12,12,15,15,15,15,9,6,6,6,3,3,6,9,9,15,15,12,9,12,12,12,3,3,0,0,3,3,0,0,3,3,0,0,0,0,0,0,24,27,30,36,51,21,3,24,12,12,6,6,0,0,6,3,9,9,12,12,18,18,18,24,9,6,3,6,6,6,9,18,9,15,3,3,6,9,3,3,6,6,6,6,9,3,3,15,12,9,3,6,6,6,6,3,3,3,9,12,15,24,15,9,18,21,21,18,12,9,9,9,15,18,18,18,18,15,15,15,15,15,18,21,21,27,24,15,18,24,30,24,30,18,15,18,15,18,9,3,3,12,12,12,6,18,18,15,12,9,9,15,24,24,27,36,36,42,54,33,27,27,66,153,207,162,108,99,,0,0,1,0
33,33,9,18,48,39,27,30,6,12,12,24,12,6,9,0,9,6,3,3,6,3,0,6,3,3,6,9,6,6,9,9,6,3,6,3,6,9,6,9,9,6,6,3,0,3,12,9,12,3,0,3,3,6,6,6,9,9,12,3,3,0,3,12,0,0,0,3,9,3,3,6,3,12,3,9,0,6,15,3,15,18,33,48,51,63,42,0,18,21,42,27,6,9,54,60,24,12,12,36,81,66,0,0,3,3,0,3,6,6,6,6,3,3,6,6,3,3,3,3,3,6,6,6,3,3,3,0,3,0,6,3,6,6,3,6,0,0,0,0,0,0,0,6,9,3,3,0,0,0,6,6,6,6,9,6,6,6,3,0,0,0,6,9,9,0,3,6,0,3,0,3,9,9,6,6,6,6,6,6,6,6,6,6,6,6,9,6,9,9,6,6,6,0,3,3,9,0,3,6,6,6,6,12,0,6,6,39,39,15,12,27,18,24,27,9,30,15,21,9,9,27,33,21,24,33,24,30,24,21,21,9,15,24,27,18,21,27,21,18,21,21,21,12,18,21,30,21,6,15,27,6,15,21,0,39,45,12,,0,0,0,0
34,34,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,9,9,9,6,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,6,147,99,129,177,195,192,180,213,195,6,0,0,0,3,3,0,0,3,3,3,6,9,6,3,9,9,3,9,9,9,9,12,12,18,21,21,21,18,18,18,18,15,12,12,12,12,12,12,9,12,15,15,0,3,0,18,18,12,12,24,18,3,3,21,24,9,87,33,48,15,12,24,27,27,15,15,9,3,6,18,18,21,9,9,6,9,9,9,9,12,9,3,6,6,6,12,18,27,27,27,27,27,24,18,15,12,12,12,15,15,18,18,18,12,12,15,21,24,21,12,9,9,15,15,9,3,15,15,12,15,15,9,3,9,6,6,6,,0,1,0,0
35,35,27,15,6,30,78,114,78,33,66,69,42,30,30,30,36,30,36,36,24,15,27,27,30,30,30,24,21,33,24,21,21,27,30,39,27,24,12,24,39,33,42,45,18,24,33,33,27,15,30,21,36,39,39,57,60,39,15,6,9,12,12,9,6,9,9,9,15,21,18,21,24,9,15,21,21,21,15,15,12,12,12,9,6,6,9,6,9,9,3,9,9,9,12,18,12,12,9,12,3,12,12,9,9,9,3,12,12,6,6,9,6,6,6,3,6,0,3,0,0,3,6,3,9,6,12,6,9,0,33,54,45,51,42,9,6,15,12,12,12,12,15,6,9,9,12,12,12,9,18,18,9,9,12,9,9,9,9,12,15,21,21,18,15,6,21,21,9,18,3,3,0,0,9,21,15,6,12,15,9,21,18,15,18,12,18,18,9,18,21,30,39,12,6,12,12,6,3,0,3,9,12,12,12,9,3,0,3,6,6,6,6,6,6,9,3,3,3,0,0,0,6,6,9,9,6,9,12,3,6,18,24,30,24,24,6,9,39,24,39,6,12,36,39,51,51,51,69,117,159,93,66,69,84,105,93,51,,0,0,0,0
36,36,24,18,24,30,27,24,48,27,51,45,24,6,36,24,24,27,12,48,21,42,48,24,18,30,36,39,36,18,12,18,42,45,45,63,12,33,48,27,39,42,9,27,9,21,27,15,15,21,21,30,12,15,24,33,15,24,21,12,30,33,51,24,15,6,3,6,9,9,9,9,3,3,3,0,3,6,3,6,3,0,3,3,9,6,3,6,6,6,9,6,9,6,3,6,3,3,9,6,0,3,3,6,12,9,6,12,3,9,6,3,9,6,3,12,6,6,6,3,18,6,9,6,18,9,24,15,3,0,30,39,9,21,15,12,12,6,12,9,9,6,12,18,12,12,12,18,15,18,15,12,9,9,12,15,18,15,18,24,21,15,18,6,24,18,21,12,3,18,18,9,21,15,12,18,15,18,15,27,27,24,12,33,18,24,54,66,6,18,9,6,27,18,24,18,21,9,15,15,24,24,12,9,9,9,15,18,18,12,21,18,21,27,15,12,12,21,21,21,9,9,9,15,12,18,9,18,6,21,24,9,12,21,9,12,12,21,18,9,27,21,15,12,12,33,27,12,15,24,24,27,21,3,24,24,18,12,,0,1,0,0
37,37,36,36,60,33,12,33,54,33,15,12,30,18,6,18,33,24,24,15,18,18,18,9,18,18,18,15,21,18,18,12,21,18,24,18,21,24,21,9,12,15,15,12,6,12,21,15,18,48,45,57,57,57,57,81,54,42,60,51,51,39,45,27,48,33,18,12,27,9,33,39,42,45,27,102,63,63,12,3,3,9,6,6,0,3,3,6,15,3,6,0,9,6,3,0,6,6,9,12,6,9,6,3,9,3,6,6,6,6,6,3,3,6,6,6,3,6,3,3,6,3,0,0,0,3,3,3,3,3,15,30,12,27,18,12,33,24,15,15,15,18,30,33,36,30,27,36,45,30,36,24,6,3,9,9,15,12,30,24,18,21,27,39,24,18,33,30,66,36,27,48,15,21,24,33,30,18,15,21,18,33,21,12,12,21,33,24,12,12,6,6,15,15,15,15,21,18,9,15,21,15,18,33,15,21,9,15,9,3,3,12,21,9,15,21,12,12,9,12,15,12,15,12,9,9,15,18,3,12,18,18,18,15,15,12,12,9,15,18,12,15,15,15,12,12,21,27,21,24,15,15,15,18,36,18,84,66,,0,0,0,0
38,38,81,60,126,144,183,45,33,39,21,33,9,9,6,15,3,12,6,0,9,3,6,3,3,9,6,12,3,0,6,12,6,3,0,3,9,9,6,3,3,6,6,12,6,9,9,3,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,3,6,3,3,3,6,6,0,0,3,6,3,3,3,0,3,6,6,3,3,3,6,9,9,9,15,6,3,6,3,9,9,15,12,15,18,0,9,9,6,3,9,12,9,9,3,9,9,3,15,15,6,12,30,15,21,6,24,36,42,27,30,24,33,48,36,30,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,6,3,3,6,6,6,12,9,12,9,6,6,6,6,6,3,9,9,6,6,6,6,3,6,6,6,0,0,6,3,3,3,3,3,3,3,3,3,3,0,6,27,33,18,27,42,27,18,42,27,30,21,30,21,21,27,27,12,27,18,6,27,27,18,15,21,15,42,42,42,24,24,21,27,48,42,39,30,24,18,18,18,15,21,12,9,15,27,33,36,33,18,15,24,24,12,21,24,24,9,24,12,6,6,3,12,6,0,3,6,3,,0,0,0,0
39,39,75,87,69,42,51,96,120,120,84,9,9,6,12,18,12,12,3,15,15,0,3,18,21,9,9,30,30,12,6,15,18,15,12,9,9,12,24,27,30,21,15,9,12,12,3,3,3,6,6,6,6,6,6,6,3,6,0,0,0,3,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,9,0,3,6,3,3,9,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45,36,18,24,18,27,27,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,0,0,9,15,6,12,18,15,15,15,21,27,27,27,15,21,18,21,21,18,15,15,15,27,27,18,18,18,18,18,12,27,24,27,18,12,15,21,30,27,30,24,24,15,18,0,6,21,21,15,12,63,63,48,6,,0,0,0,0
40,40,12,3,3,3,6,6,6,0,3,0,9,3,9,3,3,3,3,0,3,6,3,6,6,6,3,3,3,3,3,3,3,3,6,0,6,3,0,0,3,0,0,0,6,6,6,3,3,6,3,3,0,0,0,0,3,3,0,3,0,0,3,3,0,3,6,6,18,9,15,15,9,21,9,18,21,18,24,21,18,15,6,15,6,15,33,33,21,9,15,6,18,15,9,9,9,9,6,9,9,6,15,21,15,15,3,9,24,30,24,33,15,12,12,21,48,48,66,63,63,51,27,66,87,75,81,81,78,84,3,21,9,12,15,12,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,18,12,12,0,0,15,12,21,9,9,9,12,12,18,6,9,9,3,15,21,18,21,9,15,18,12,12,9,12,15,9,18,12,33,27,15,9,15,12,21,30,30,30,30,18,24,21,30,36,36,27,15,15,15,12,12,15,15,15,15,15,18,18,18,15,21,18,18,18,18,12,21,27,24,42,15,9,18,12,6,18,21,15,9,12,24,9,6,9,21,24,45,33,48,42,30,30,,0,0,0,0
41,41,3,3,3,6,117,195,186,171,147,135,18,6,3,33,6,6,3,6,6,0,3,6,3,6,3,3,3,6,6,9,9,6,9,9,6,6,15,9,12,6,3,3,3,0,9,6,9,9,3,12,12,9,6,9,6,6,9,3,18,18,18,27,18,12,3,3,9,18,15,24,21,0,12,6,6,6,3,6,3,3,0,3,3,0,0,0,0,3,3,0,3,3,0,3,6,3,3,0,3,6,3,0,0,0,0,3,3,0,6,6,0,0,3,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,6,6,0,3,3,0,3,3,3,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,9,15,15,12,9,9,12,12,9,6,6,6,6,9,9,12,12,12,18,21,18,15,24,24,18,27,33,15,21,21,24,15,24,27,21,21,30,24,18,18,9,3,18,18,21,24,12,39,33,9,6,27,18,33,9,24,18,21,6,12,15,6,18,15,18,24,12,12,15,27,24,27,24,24,27,21,21,12,15,21,9,18,18,30,18,12,9,12,12,18,9,0,0,6,9,9,,0,0,0,0
42,42,0,0,6,6,0,3,3,0,3,3,0,3,3,3,6,3,6,6,3,3,9,3,0,6,0,0,6,6,3,3,0,6,6,6,3,0,3,6,12,15,33,57,42,27,24,24,27,30,15,21,45,42,21,27,51,48,45,15,39,33,39,12,21,21,18,24,9,6,3,15,12,12,3,6,0,6,6,3,9,3,9,6,9,6,6,3,12,12,6,12,9,6,3,12,12,12,6,6,27,27,15,27,21,27,12,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,12,15,6,15,12,6,6,6,12,12,15,9,9,12,3,9,6,3,15,9,6,12,12,12,15,12,12,9,12,12,6,3,6,3,6,3,9,3,15,9,18,15,9,12,6,12,15,12,15,3,6,21,15,12,9,6,9,6,6,6,18,12,6,18,3,21,12,12,12,12,15,18,24,27,3,9,9,6,15,3,6,12,9,12,24,21,12,18,6,18,18,18,15,12,9,15,9,12,12,9,3,6,9,6,9,3,3,3,0,6,6,0,3,12,18,12,9,6,12,6,15,12,6,15,3,18,48,18,,0,1,0,0
43,43,75,27,54,66,18,21,39,39,36,36,9,6,12,18,18,21,18,0,0,0,0,0,0,0,12,15,18,24,39,9,39,33,54,33,3,132,117,99,129,54,6,24,0,63,33,12,12,12,15,18,21,18,18,24,21,15,3,6,0,9,15,6,9,9,0,15,78,54,84,96,123,123,75,138,60,0,33,33,27,39,15,24,21,18,6,15,24,18,15,0,9,18,6,3,6,9,0,0,0,0,6,12,15,9,12,18,15,27,12,9,6,21,21,18,6,24,60,30,39,0,3,135,108,108,36,6,21,6,0,0,3,12,18,18,21,12,12,24,33,24,15,15,33,30,24,33,33,27,36,36,15,24,30,30,30,33,18,12,6,21,30,33,39,45,30,39,48,48,36,18,27,30,21,27,39,27,36,36,42,45,42,33,39,42,30,36,36,33,42,54,48,51,57,51,51,48,45,45,42,42,39,45,45,39,42,42,39,33,36,36,33,33,39,36,42,36,36,42,45,42,24,18,33,30,27,15,30,33,30,21,15,15,18,24,30,30,30,30,18,6,15,21,24,15,12,21,27,21,3,0,0,0,0,0,0,3,,1,1,1,0
44,44,75,90,96,60,69,15,18,42,21,36,24,12,18,6,9,9,3,18,18,15,3,9,9,6,3,3,6,9,9,6,6,12,15,12,12,21,9,0,9,18,21,30,18,0,9,27,36,24,33,0,21,18,45,18,54,108,87,120,60,63,0,30,36,27,15,18,36,12,24,6,0,3,21,15,9,6,12,6,15,3,9,9,3,3,9,0,0,3,3,3,3,6,9,9,3,6,9,15,0,18,12,6,6,0,6,18,12,15,0,21,27,21,18,0,69,60,66,72,33,15,51,57,39,78,30,9,15,12,48,21,30,24,15,21,12,9,12,3,15,24,21,48,27,30,30,36,18,30,12,12,27,30,18,21,21,12,18,33,21,24,21,27,30,9,9,12,21,9,18,18,27,21,21,27,24,15,12,15,9,12,9,21,21,27,21,18,27,21,18,15,27,51,51,42,54,51,48,45,45,39,39,54,51,30,18,24,33,36,24,33,36,42,45,39,42,27,24,21,18,18,21,18,15,18,12,12,12,18,21,12,15,18,18,21,18,15,24,42,30,18,9,12,3,3,0,0,0,0,0,0,3,6,3,3,0,0,,0,1,0,0
