,ï»¿counter,projHist0,projHist1,projHist2,projHist3,projHist4,projHist5,projHist6,projHist7,projHist8,projHist9,projHist10,projHist11,projHist12,projHist13,projHist14,projHist15,projHist16,projHist17,projHist18,projHist19,projHist20,projHist21,projHist22,projHist23,projHist24,projHist25,projHist26,projHist27,projHist28,projHist29,projHist30,projHist31,projHist32,projHist33,projHist34,projHist35,projHist36,projHist37,projHist38,projHist39,projHist40,projHist41,projHist42,projHist43,projHist44,projHist45,projHist46,projHist47,projHist48,projHist49,projHist50,projHist51,projHist52,projHist53,projHist54,projHist55,projHist56,projHist57,projHist58,projHist59,projHist60,projHist61,projHist62,projHist63,projHist64,projHist65,projHist66,projHist67,projHist68,projHist69,projHist70,projHist71,projHist72,projHist73,projHist74,projHist75,projHist76,projHist77,projHist78,projHist79,projHist80,projHist81,projHist82,projHist83,projHist84,projHist85,projHist86,projHist87,projHist88,projHist89,projHist90,projHist91,projHist92,projHist93,projHist94,projHist95,projHist96,projHist97,projHist98,projHist99,projHist100,projHist101,projHist102,projHist103,projHist104,projHist105,projHist106,projHist107,projHist108,projHist109,projHist110,projHist111,projHist112,projHist113,projHist114,projHist115,projHist116,projHist117,projHist118,projHist119,projHist120,projHist121,projHist122,projHist123,projHist124,projHist125,projHist126,projHist127,projHistH0,projHistH1,projHistH2,projHistH3,projHistH4,projHistH5,projHistH6,projHistH7,projHistH8,projHistH9,projHistH10,projHistH11,projHistH12,projHistH13,projHistH14,projHistH15,projHistH16,projHistH17,projHistH18,projHistH19,projHistH20,projHistH21,projHistH22,projHistH23,projHistH24,projHistH25,projHistH26,projHistH27,projHistH28,projHistH29,projHistH30,projHistH31,projHistH32,projHistH33,projHistH34,projHistH35,projHistH36,projHistH37,projHistH38,projHistH39,projHistH40,projHistH41,projHistH42,projHistH43,projHistH44,projHistH45,projHistH46,projHistH47,projHistH48,projHistH49,projHistH50,projHistH51,projHistH52,projHistH53,projHistH54,projHistH55,projHistH56,projHistH57,projHistH58,projHistH59,projHistH60,projHistH61,projHistH62,projHistH63,projHistH64,projHistH65,projHistH66,projHistH67,projHistH68,projHistH69,projHistH70,projHistH71,projHistH72,projHistH73,projHistH74,projHistH75,projHistH76,projHistH77,projHistH78,projHistH79,projHistH80,projHistH81,projHistH82,projHistH83,projHistH84,projHistH85,projHistH86,projHistH87,projHistH88,projHistH89,projHistH90,projHistH91,projHistH92,projHistH93,projHistH94,projHistH95,projHistH96,projHistH97,projHistH98,projHistH99,projHistH100,projHistH101,projHistH102,projHistH103,projHistH104,projHistH105,projHistH106,projHistH107,projHistH108,projHistH109,projHistH110,projHistH111,projHistH112,projHistH113,projHistH114,projHistH115,projHistH116,projHistH117,projHistH118,projHistH119,projHistH120,projHistH121,projHistH122,projHistH123,projHistH124,projHistH125,projHistH126,projHistH127,ratioBlackWhite,verticalSymmetry,horizontalSymmetry,diagonalSymmetry14,diagonalSymmetry23
45,45,21,18,15,9,3,6,27,0,0,0,6,3,3,0,3,3,0,0,3,3,3,3,3,3,3,3,3,0,0,3,6,6,3,0,0,0,0,0,0,0,0,0,3,3,0,0,9,9,9,6,3,0,0,0,0,0,0,3,3,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,6,0,0,0,3,3,0,0,6,3,0,3,6,0,0,0,3,0,0,0,0,45,33,3,0,0,0,0,0,27,9,15,15,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,0,0,0,0,6,15,30,18,9,12,9,6,0,0,0,3,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,6,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,21,12,15,9,6,6,15,,0,0,0,1
46,46,39,72,63,39,51,36,42,54,45,30,33,33,15,36,27,30,12,21,15,18,18,30,9,18,18,21,6,21,24,15,21,18,12,15,18,15,9,9,0,15,12,15,12,6,15,9,0,9,3,3,12,15,27,33,27,27,24,15,18,18,12,12,12,9,12,21,24,18,18,21,21,15,15,12,15,15,18,15,12,21,18,12,15,21,18,6,12,3,3,0,3,12,18,9,12,18,18,9,12,9,9,21,15,3,12,12,21,21,30,9,15,27,30,15,9,27,30,27,6,0,15,36,39,39,6,21,24,15,0,21,63,63,60,48,9,36,24,39,30,12,15,18,27,30,18,24,15,30,24,6,27,21,24,21,18,12,9,3,6,9,12,18,24,15,15,21,15,15,15,12,9,3,9,12,15,18,6,21,18,12,15,18,9,12,6,12,9,6,3,6,6,9,9,9,12,15,21,15,12,18,9,9,12,18,18,9,9,12,18,12,15,18,15,15,12,6,15,15,12,21,21,12,24,9,12,21,27,12,9,24,24,18,12,15,18,12,12,9,42,15,6,12,21,27,21,18,21,51,42,51,54,48,57,42,21,24,,0,1,1,0
47,47,6,9,12,93,75,96,66,15,54,120,132,135,123,102,51,6,9,3,9,9,6,9,6,3,6,0,9,9,6,6,9,3,12,6,9,9,3,9,9,6,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,6,6,6,6,6,9,9,9,3,0,6,6,6,6,9,6,3,3,6,9,6,6,9,9,9,6,3,6,6,3,6,6,6,0,9,12,6,6,6,6,6,3,12,6,6,9,9,6,6,0,6,9,3,9,6,12,9,9,15,12,6,18,3,3,0,36,18,12,27,12,24,9,18,48,15,24,24,9,12,9,18,12,12,15,18,6,3,3,3,12,12,6,9,3,9,18,15,9,15,12,12,12,18,21,21,24,24,21,27,24,18,30,21,15,21,9,9,15,6,12,15,12,42,36,39,60,78,24,33,27,27,30,36,15,15,9,0,0,0,0,3,6,3,3,0,0,0,12,9,12,18,12,15,18,18,18,18,12,12,15,9,12,9,15,15,12,12,12,12,12,15,15,15,15,15,15,9,12,12,12,12,6,6,9,15,9,6,18,18,9,6,9,6,9,9,9,9,6,6,6,,0,0,0,0
48,48,21,33,30,30,30,39,27,15,6,12,6,9,6,6,12,6,9,6,3,3,9,12,3,9,9,0,3,6,0,3,3,3,6,0,0,0,3,6,3,3,3,3,3,3,0,3,3,3,3,3,6,0,0,0,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,6,6,0,0,0,6,6,3,3,6,3,3,6,6,6,3,3,3,0,0,6,3,6,15,30,33,27,27,21,21,219,252,258,270,249,231,189,159,84,102,123,198,216,237,225,210,132,174,72,42,42,30,18,18,27,27,0,42,18,42,48,33,27,24,12,12,18,36,24,36,30,39,27,18,36,33,9,33,30,63,63,72,69,57,42,39,24,36,45,66,54,42,24,42,33,33,27,24,30,30,24,42,45,48,51,57,42,39,36,39,45,42,39,36,36,42,45,54,54,45,39,33,36,33,45,39,45,42,36,39,42,45,48,48,30,33,36,42,42,42,45,48,30,42,42,42,39,36,39,42,24,24,33,39,36,36,36,42,27,24,33,33,39,36,39,33,39,33,30,33,18,9,18,15,12,15,12,9,18,6,3,3,,0,1,0,0
49,49,27,18,6,18,6,0,27,18,30,30,57,27,108,105,111,117,81,12,9,27,18,15,3,15,3,9,18,3,3,3,6,6,6,0,9,0,0,9,12,3,6,9,3,6,6,12,6,6,3,3,9,0,3,6,3,9,6,3,3,6,9,6,6,9,6,0,0,3,0,0,0,6,9,0,3,6,3,3,6,3,3,3,3,3,6,9,9,6,6,6,6,6,6,9,6,3,6,3,0,0,0,0,0,0,0,3,3,3,6,9,6,9,6,6,6,6,9,6,6,3,6,3,0,3,0,0,0,0,12,33,54,30,21,27,21,9,9,15,6,3,9,12,12,12,9,15,6,3,3,6,21,9,15,18,6,24,15,12,21,15,0,12,9,6,6,6,9,9,9,3,6,3,9,6,12,15,24,21,24,33,33,33,30,18,9,9,0,0,3,6,6,3,0,3,3,3,0,3,6,12,15,12,12,6,6,6,12,15,12,9,0,0,9,12,12,12,6,12,12,9,6,9,15,9,9,9,9,15,12,9,9,9,9,15,15,6,3,6,15,15,18,12,12,12,6,0,0,0,3,0,6,9,3,0,0,0,,0,0,0,0
50,50,30,33,33,42,39,24,33,33,18,21,24,9,15,36,30,30,18,21,30,15,9,15,18,27,21,24,21,24,3,15,9,21,12,12,12,12,15,9,6,6,3,9,9,12,21,15,12,12,12,12,12,18,18,24,12,18,21,15,15,12,9,9,3,3,6,0,0,6,15,18,18,15,15,18,18,12,12,12,15,12,21,3,6,6,6,3,6,12,9,3,6,6,0,6,9,6,9,18,9,12,3,6,3,3,12,12,9,6,15,15,6,12,12,18,18,27,15,6,9,6,0,3,27,27,9,12,15,15,9,45,48,27,24,18,39,51,36,21,21,27,36,21,15,21,30,21,21,21,21,12,3,0,0,0,0,0,0,9,12,12,15,12,21,18,12,21,0,15,15,9,6,9,18,12,12,12,9,18,21,24,9,0,0,3,6,12,6,0,6,15,0,36,18,21,15,15,9,3,12,3,3,9,12,18,6,0,9,12,9,3,12,0,0,9,6,6,9,3,0,0,3,3,21,24,15,6,12,6,0,0,0,0,0,0,9,9,18,15,6,12,12,15,12,6,15,18,30,12,21,69,69,39,27,12,54,15,,0,1,0,0
51,51,21,27,42,60,51,42,36,66,69,84,63,69,30,9,54,45,33,42,54,27,48,60,60,57,51,21,27,33,42,24,15,9,6,9,6,3,12,12,9,6,9,9,6,9,12,3,3,3,9,9,9,9,6,6,0,0,3,3,6,3,6,6,9,6,9,9,12,9,0,9,0,0,0,3,3,3,3,3,0,3,3,3,3,3,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,6,12,6,6,6,9,6,9,6,6,6,9,9,6,3,0,12,9,0,6,9,9,12,15,6,9,6,9,15,9,12,15,6,3,12,15,12,15,15,15,6,6,15,15,6,12,15,9,15,15,12,51,36,12,51,69,9,18,6,18,24,24,15,15,6,12,6,9,12,15,12,6,9,12,9,9,6,3,6,6,9,9,15,15,9,6,15,18,18,21,12,15,18,15,18,18,18,12,12,15,18,15,18,15,6,9,9,0,18,15,15,18,18,15,6,105,66,21,12,6,3,,0,0,0,0
52,52,111,156,198,99,135,48,39,21,36,21,18,9,24,27,15,9,21,21,15,12,6,6,6,18,3,18,12,3,15,12,6,12,9,12,6,3,18,15,9,18,12,15,12,6,6,9,9,9,9,6,18,21,18,12,18,21,12,3,3,3,0,0,6,6,9,9,12,9,3,3,3,12,3,9,15,3,0,3,6,3,6,6,15,15,15,18,6,18,6,12,6,0,6,9,9,6,3,6,9,21,24,15,6,30,36,24,15,21,27,27,39,27,30,42,36,51,21,0,30,42,39,24,45,27,42,36,81,42,0,6,6,0,0,3,3,6,6,3,6,6,3,3,3,3,6,6,9,9,3,0,3,18,12,12,21,21,18,21,15,12,18,15,12,21,21,21,15,21,18,15,24,27,18,18,27,15,21,24,24,15,15,21,12,12,24,33,36,24,21,21,27,21,15,21,18,21,18,18,30,33,24,27,27,30,27,33,15,21,30,27,27,33,27,33,36,33,30,36,39,36,27,15,18,12,15,15,3,6,15,12,15,21,30,36,18,30,24,21,15,24,33,24,24,24,30,33,18,48,87,99,54,30,36,39,21,12,,0,0,0,0
53,53,24,42,33,33,57,12,24,42,60,33,18,72,39,54,54,15,12,42,30,39,0,21,21,24,12,12,6,18,21,24,33,24,27,15,15,27,33,12,0,18,12,6,18,9,21,12,15,18,30,39,9,9,0,30,27,24,3,30,21,39,21,21,6,27,18,9,12,6,15,24,30,24,6,21,21,12,12,6,3,18,12,9,6,24,15,6,0,15,6,12,15,15,6,6,9,12,15,15,9,6,9,9,6,9,12,6,18,18,3,6,12,6,6,6,0,6,12,6,9,9,3,6,0,0,0,0,3,3,6,0,0,0,0,9,6,6,6,3,9,15,6,0,0,3,12,12,33,15,21,21,6,15,12,12,9,15,24,21,18,15,24,12,9,15,24,30,36,24,21,15,21,15,18,15,21,27,30,15,18,12,12,18,24,18,12,21,27,27,24,39,30,21,27,12,9,21,15,15,21,30,21,15,15,18,18,12,12,18,33,30,24,27,27,30,21,12,6,6,12,15,6,18,18,21,21,21,15,12,15,18,12,24,21,12,9,21,21,12,9,12,6,6,24,21,21,36,30,21,18,27,24,12,27,24,18,18,,0,1,0,0
54,54,3,3,15,15,18,21,18,33,21,21,0,15,21,9,21,12,12,21,6,15,33,15,0,12,15,27,15,0,30,24,12,18,24,24,24,3,9,30,18,0,15,33,24,3,18,15,12,0,0,9,3,12,12,6,9,6,15,12,15,15,0,18,36,15,6,27,15,15,12,12,42,12,15,12,24,6,12,6,9,12,6,12,3,12,18,6,24,30,18,0,21,21,9,18,12,15,24,6,0,0,33,12,15,21,15,12,3,15,18,12,15,6,9,15,9,9,6,15,15,9,24,15,12,12,24,30,18,15,3,9,3,9,12,6,3,6,9,12,0,3,6,12,30,9,9,15,12,12,15,12,9,12,3,3,0,12,12,12,12,15,12,18,12,12,12,9,9,6,6,6,6,3,3,0,0,6,12,12,9,3,30,21,27,21,39,27,15,9,12,15,9,12,18,12,18,21,12,15,15,12,18,18,24,15,12,12,15,21,21,27,27,15,18,24,18,18,12,9,21,15,3,12,12,9,12,9,21,6,15,21,12,18,21,24,18,18,27,27,15,15,15,15,18,21,33,30,21,24,18,21,27,24,39,27,9,12,,1,0,0,0
55,55,3,24,12,0,0,3,6,3,3,12,0,12,6,9,9,3,6,6,3,3,0,0,9,9,9,15,6,15,12,30,27,30,6,15,6,12,0,12,3,6,18,3,6,9,0,6,9,3,0,6,9,3,0,9,12,0,3,18,12,9,24,12,12,0,45,54,30,21,18,33,21,30,18,36,27,39,42,12,36,30,48,12,21,27,15,21,15,15,18,21,24,15,9,9,18,30,18,15,9,12,15,15,12,9,15,15,9,3,9,6,9,9,3,3,0,3,0,0,0,6,3,6,0,0,0,0,0,0,3,3,3,3,0,3,3,3,6,0,3,6,3,6,6,9,9,9,3,12,9,9,6,3,6,18,12,18,18,6,0,6,15,15,12,15,6,3,15,12,18,18,6,9,15,9,6,6,9,9,12,21,12,9,15,9,6,9,15,12,6,12,15,15,12,6,12,3,3,6,18,3,3,9,12,12,24,24,12,12,9,15,6,15,6,6,6,6,3,3,3,3,6,9,6,6,9,3,9,6,6,9,0,0,6,9,6,12,6,6,6,9,12,15,6,15,12,27,39,33,30,15,36,42,66,72,102,69,,0,0,0,1
56,56,3,3,3,0,0,0,24,12,21,33,0,0,6,15,3,3,3,3,9,6,6,12,9,6,6,6,6,3,3,0,0,0,0,12,6,3,3,3,12,3,0,0,3,3,6,6,12,0,3,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,3,0,0,0,0,6,6,0,6,3,3,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,6,0,0,3,3,3,0,0,0,0,0,0,0,6,9,3,6,6,3,3,0,0,0,6,9,3,0,3,9,6,0,0,3,6,6,0,0,0,6,0,0,0,0,0,0,0,0,9,6,9,0,6,0,0,9,0,0,0,3,0,0,3,0,9,6,9,6,0,0,0,3,0,6,0,6,3,3,0,0,9,0,6,3,9,6,0,0,0,3,9,9,0,0,0,0,9,0,0,0,0,0,0,3,3,3,9,6,0,9,18,15,21,15,6,3,6,0,0,6,3,0,3,9,3,6,9,12,6,6,3,0,3,3,3,9,0,3,3,0,3,6,0,0,0,0,0,3,0,0,0,12,0,6,6,6,6,6,9,3,0,3,0,3,,0,0,1,0
57,57,12,27,27,39,21,6,3,9,6,9,6,3,0,0,3,6,3,3,3,3,3,3,0,24,42,48,36,15,9,15,33,30,21,6,6,9,18,12,3,3,12,15,6,9,6,0,15,12,12,12,0,15,15,12,15,6,18,21,39,30,9,3,6,27,27,24,6,3,21,21,21,9,3,15,12,24,30,6,6,18,24,36,15,15,33,42,60,33,33,18,63,102,90,63,42,39,3,3,3,6,3,3,6,0,3,3,0,3,3,3,3,6,6,6,3,0,0,0,3,3,0,0,0,3,6,0,3,0,3,9,3,6,18,18,18,24,15,12,15,12,15,18,6,9,6,18,21,15,9,30,24,15,18,18,3,30,18,15,6,12,9,12,9,15,21,3,15,15,15,12,12,12,6,15,3,9,15,18,21,15,15,12,27,18,12,12,9,18,18,9,15,15,18,24,21,30,30,12,12,15,9,21,18,12,12,9,12,21,12,18,12,15,12,6,18,15,15,15,24,27,24,15,18,24,15,18,12,12,15,12,9,6,3,9,12,9,12,15,6,12,15,3,0,18,15,18,12,9,12,12,9,21,15,36,45,24,,1,1,0,1
58,58,12,12,15,12,24,42,39,6,6,18,21,21,12,15,45,42,24,24,27,18,15,21,33,24,27,21,21,24,42,39,33,33,36,33,42,21,33,33,30,27,36,21,15,39,39,30,39,33,30,18,24,24,30,24,30,33,45,42,60,54,45,36,42,33,18,27,24,33,42,18,12,30,24,18,21,15,15,12,12,12,9,9,15,18,30,39,18,6,12,12,12,9,6,9,9,6,6,12,15,9,18,27,18,18,12,15,3,6,3,3,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,60,48,57,105,93,90,18,15,30,9,9,12,9,12,15,6,3,6,21,3,3,6,9,3,0,0,0,0,0,0,3,3,9,9,12,3,6,6,0,6,3,0,6,3,12,15,0,81,63,90,54,30,9,18,18,9,3,0,0,18,18,18,0,0,12,12,3,6,6,9,9,3,6,9,24,18,15,15,6,15,18,12,24,9,3,12,12,12,12,0,9,12,9,6,18,15,6,3,12,3,3,0,3,3,3,6,3,3,6,12,9,78,21,105,84,93,72,39,51,24,9,78,33,18,84,72,78,78,,0,0,0,0
59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,9,9,9,6,6,6,9,6,6,3,6,12,15,6,9,15,18,15,21,6,9,12,9,9,6,3,18,6,3,0,6,15,12,9,12,24,9,6,12,3,3,15,9,9,15,9,3,21,9,15,12,3,9,12,18,9,12,12,15,18,12,15,0,0,3,0,0,3,0,0,9,9,0,6,3,6,21,9,0,15,6,12,18,3,9,3,3,9,6,3,6,9,9,15,12,3,12,3,0,9,3,9,9,3,3,3,3,18,6,3,3,9,15,27,18,42,3,9,0,0,3,0,0,0,0,0,0,6,9,0,0,0,3,0,6,0,3,0,6,0,0,9,9,9,3,0,0,0,3,3,0,0,0,3,3,0,0,0,0,3,0,0,0,9,12,18,24,39,39,36,36,51,39,66,75,0,3,3,0,0,0,0,0,6,9,3,6,3,6,6,3,9,0,0,3,12,15,6,3,3,6,3,3,0,0,9,12,18,3,3,6,3,9,0,6,6,0,0,0,0,0,0,3,3,3,0,3,3,3,15,3,0,3,6,0,,1,1,0,1
60,60,27,33,12,9,18,30,27,15,24,36,21,9,9,15,15,12,12,15,12,12,6,6,6,6,6,3,6,9,6,0,12,15,3,15,9,36,45,39,27,36,27,12,18,9,18,24,15,24,12,24,12,24,12,12,15,15,15,6,6,9,12,12,9,21,21,9,15,15,12,15,15,12,12,15,24,24,18,6,6,9,18,21,18,15,9,18,18,12,27,24,30,21,18,9,18,24,21,24,18,12,24,21,33,36,15,30,36,33,0,30,24,9,9,18,9,6,9,30,21,30,33,21,24,12,15,9,6,6,9,9,15,75,51,21,12,18,12,15,12,18,21,18,21,21,9,12,15,15,24,9,15,12,15,21,12,12,9,18,12,30,18,27,9,12,12,6,12,21,24,12,24,21,6,24,12,18,9,15,15,6,12,6,24,9,24,9,18,12,15,12,18,12,6,6,33,24,12,27,6,12,21,15,9,18,21,21,27,18,3,15,9,0,15,6,18,9,6,15,6,9,15,21,15,18,18,12,12,6,9,6,15,12,30,21,36,21,6,12,12,12,9,9,6,9,27,15,12,3,15,12,18,18,75,78,48,57,,1,1,1,1
61,61,6,9,9,0,0,6,6,3,3,9,9,3,0,3,3,9,3,0,0,3,6,3,3,3,0,0,0,0,6,9,9,9,9,6,6,6,6,6,9,9,12,9,15,12,6,3,3,3,3,3,9,6,6,3,3,3,3,0,0,0,0,0,0,3,0,0,0,3,3,6,6,6,6,9,9,3,3,6,3,3,6,6,3,3,6,6,0,0,0,0,0,3,3,3,9,30,18,27,27,33,12,12,3,21,6,15,0,12,6,0,0,0,6,0,0,6,12,3,3,3,9,21,6,6,0,24,30,30,6,15,9,18,12,3,0,3,12,9,9,9,0,12,6,3,6,6,15,15,3,9,0,9,6,12,0,3,0,3,3,0,0,3,6,6,30,12,6,6,6,0,0,0,3,3,3,0,0,0,0,0,0,6,12,12,12,3,3,0,0,0,0,0,0,0,0,0,3,9,6,9,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,6,12,0,0,3,3,3,0,3,3,3,3,0,0,0,3,9,9,6,0,0,0,9,9,9,0,0,0,0,9,15,9,9,36,39,30,123,12,15,9,,0,0,0,0
62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
